Index,Prime,Prime_Diff,Prime_Density
1,2,0.0,2.0
2,3,1.0,1.5
3,5,2.0,1.6666666666666667
4,7,2.0,1.75
5,11,4.0,2.2
6,13,2.0,2.1666666666666665
7,17,4.0,2.4285714285714284
8,19,2.0,2.375
9,23,4.0,2.5555555555555554
10,29,6.0,2.9
11,31,2.0,2.8181818181818183
12,37,6.0,3.0833333333333335
13,41,4.0,3.1538461538461537
14,43,2.0,3.0714285714285716
15,47,4.0,3.1333333333333333
16,53,6.0,3.3125
17,59,6.0,3.4705882352941178
18,61,2.0,3.388888888888889
19,67,6.0,3.526315789473684
20,71,4.0,3.55
21,73,2.0,3.4761904761904763
22,79,6.0,3.590909090909091
23,83,4.0,3.608695652173913
24,89,6.0,3.7083333333333335
25,97,8.0,3.88
26,101,4.0,3.8846153846153846
27,103,2.0,3.814814814814815
28,107,4.0,3.8214285714285716
29,109,2.0,3.7586206896551726
30,113,4.0,3.7666666666666666
31,127,14.0,4.096774193548387
32,131,4.0,4.09375
33,137,6.0,4.151515151515151
34,139,2.0,4.088235294117647
35,149,10.0,4.257142857142857
36,151,2.0,4.194444444444445
37,157,6.0,4.243243243243243
38,163,6.0,4.2894736842105265
39,167,4.0,4.282051282051282
40,173,6.0,4.325
41,179,6.0,4.365853658536586
42,181,2.0,4.309523809523809
43,191,10.0,4.441860465116279
44,193,2.0,4.386363636363637
45,197,4.0,4.377777777777778
46,199,2.0,4.326086956521739
47,211,12.0,4.48936170212766
48,223,12.0,4.645833333333333
49,227,4.0,4.63265306122449
50,229,2.0,4.58
51,233,4.0,4.568627450980392
52,239,6.0,4.596153846153846
53,241,2.0,4.547169811320755
54,251,10.0,4.648148148148148
55,257,6.0,4.672727272727273
56,263,6.0,4.696428571428571
57,269,6.0,4.719298245614035
58,271,2.0,4.672413793103448
59,277,6.0,4.694915254237288
60,281,4.0,4.683333333333334
61,283,2.0,4.639344262295082
62,293,10.0,4.725806451612903
63,307,14.0,4.873015873015873
64,311,4.0,4.859375
65,313,2.0,4.815384615384615
66,317,4.0,4.803030303030303
67,331,14.0,4.940298507462686
68,337,6.0,4.955882352941177
69,347,10.0,5.028985507246377
70,349,2.0,4.985714285714286
71,353,4.0,4.971830985915493
72,359,6.0,4.986111111111111
73,367,8.0,5.027397260273973
74,373,6.0,5.04054054054054
75,379,6.0,5.053333333333334
76,383,4.0,5.0394736842105265
77,389,6.0,5.0519480519480515
78,397,8.0,5.089743589743589
79,401,4.0,5.075949367088608
80,409,8.0,5.1125
81,419,10.0,5.172839506172839
82,421,2.0,5.134146341463414
83,431,10.0,5.192771084337349
84,433,2.0,5.154761904761905
85,439,6.0,5.1647058823529415
86,443,4.0,5.151162790697675
87,449,6.0,5.160919540229885
88,457,8.0,5.193181818181818
89,461,4.0,5.179775280898877
90,463,2.0,5.144444444444445
91,467,4.0,5.131868131868132
92,479,12.0,5.206521739130435
93,487,8.0,5.236559139784946
94,491,4.0,5.223404255319149
95,499,8.0,5.252631578947368
96,503,4.0,5.239583333333333
97,509,6.0,5.247422680412371
98,521,12.0,5.316326530612245
99,523,2.0,5.282828282828283
100,541,18.0,5.41
101,547,6.0,5.415841584158416
102,557,10.0,5.46078431372549
103,563,6.0,5.466019417475728
104,569,6.0,5.471153846153846
105,571,2.0,5.438095238095238
106,577,6.0,5.443396226415095
107,587,10.0,5.485981308411215
108,593,6.0,5.4907407407407405
109,599,6.0,5.495412844036697
110,601,2.0,5.463636363636364
111,607,6.0,5.468468468468468
112,613,6.0,5.473214285714286
113,617,4.0,5.460176991150442
114,619,2.0,5.4298245614035086
115,631,12.0,5.48695652173913
116,641,10.0,5.525862068965517
117,643,2.0,5.495726495726496
118,647,4.0,5.483050847457627
119,653,6.0,5.487394957983193
120,659,6.0,5.491666666666666
121,661,2.0,5.462809917355372
122,673,12.0,5.516393442622951
123,677,4.0,5.504065040650406
124,683,6.0,5.508064516129032
125,691,8.0,5.528
126,701,10.0,5.563492063492063
127,709,8.0,5.582677165354331
128,719,10.0,5.6171875
129,727,8.0,5.635658914728682
130,733,6.0,5.638461538461539
131,739,6.0,5.641221374045801
132,743,4.0,5.628787878787879
133,751,8.0,5.646616541353383
134,757,6.0,5.649253731343284
135,761,4.0,5.637037037037037
136,769,8.0,5.654411764705882
137,773,4.0,5.642335766423358
138,787,14.0,5.702898550724638
139,797,10.0,5.733812949640288
140,809,12.0,5.7785714285714285
141,811,2.0,5.75177304964539
142,821,10.0,5.78169014084507
143,823,2.0,5.755244755244755
144,827,4.0,5.743055555555555
145,829,2.0,5.7172413793103445
146,839,10.0,5.7465753424657535
147,853,14.0,5.802721088435374
148,857,4.0,5.79054054054054
149,859,2.0,5.76510067114094
150,863,4.0,5.753333333333333
151,877,14.0,5.80794701986755
152,881,4.0,5.796052631578948
153,883,2.0,5.771241830065359
154,887,4.0,5.759740259740259
155,907,20.0,5.851612903225806
156,911,4.0,5.839743589743589
157,919,8.0,5.853503184713376
158,929,10.0,5.879746835443038
159,937,8.0,5.8930817610062896
160,941,4.0,5.88125
161,947,6.0,5.881987577639752
162,953,6.0,5.882716049382716
163,967,14.0,5.932515337423313
164,971,4.0,5.920731707317073
165,977,6.0,5.921212121212121
166,983,6.0,5.921686746987952
